0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.69e-20,-1.3968e-17,2.4566e-15,1.0861e-13,2.5618e-10,3.8859e-07,0.00039374
0,0,0,0,2.0495e-20,-2.3373e-17,5.0726e-15,1.9968e-12,2.0431e-09,1.5504e-06,0.00078597
0,0,0,0,-3.4585e-20,4.7386e-18,1.3589e-14,1.0199e-11,6.8755e-09,3.4794e-06,0.0011767
0,0,0,0,0,8.2259e-17,5.091e-14,3.2169e-11,1.6251e-08,6.1699e-06,0.0015659
3.5939e-30,6.2462e-28,2.2501e-25,2.26e-22,3.0841e-19,2.7602e-16,1.5738e-13,7.8279e-11,3.1648e-08,9.6159e-06,0.0019537
-1.1682e-30,1.258e-29,9.3044e-25,1.3647e-21,1.2215e-18,7.8178e-16,3.8825e-13,1.6183e-10,5.4531e-08,1.3812e-05,0.00234
2.5917e-30,5.9226e-27,7.1952e-24,5.9481e-21,3.783e-18,1.9414e-15,8.3104e-13,2.9893e-10,8.6345e-08,1.8751e-05,0.0027248
8.5343e-29,4.143e-26,3.0809e-23,1.8963e-20,9.7975e-18,4.2997e-15,1.6125e-12,5.0842e-10,1.2852e-07,2.4429e-05,0.0031081
4.4485e-28,1.598e-25,9.6066e-23,4.9984e-20,2.2466e-17,8.7275e-15,2.9115e-12,8.147e-10,1.8294e-07,3.0893e-05,0.003493
1.4291e-27,4.668e-25,2.499e-22,1.1597e-19,4.6809e-17,1.6399e-14,4.9316e-12,1.2414e-09,2.5074e-07,3.8095e-05,0.0038765
4.5383e-27,1.2779e-24,6.0191e-22,2.4968e-19,9.1072e-17,2.9001e-14,7.9359e-12,1.8161e-09,3.3335e-07,4.603e-05,0.0042585
1.282e-26,3.176e-24,1.339e-21,5.0304e-19,1.6743e-16,4.883e-14,1.2249e-11,2.5691e-09,4.3215e-07,5.4691e-05,0.004639
3.2147e-26,7.2156e-24,2.7791e-21,9.5896e-19,2.9402e-16,7.908e-14,1.8297e-11,3.5393e-09,5.4922e-07,6.4129e-05,0.0050202
7.2907e-26,1.5164e-23,5.4173e-21,1.7356e-18,4.9426e-16,1.2345e-13,2.6512e-11,4.7594e-09,6.8544e-07,7.429e-05,0.0054
1.5809e-25,3.0432e-23,1.0102e-20,3.0154e-18,8.0115e-16,1.8675e-13,3.7426e-11,6.2681e-09,8.4218e-07,8.5168e-05,0.0057783
3.264e-25,5.8449e-23,1.8112e-20,5.0581e-18,1.2589e-15,2.75e-13,5.165e-11,8.1068e-09,1.0208e-06,9.676e-05,0.0061552
6.4322e-25,1.0795e-22,3.1408e-20,8.2432e-18,1.929e-15,3.9627e-13,6.9996e-11,1.0333e-08,1.2238e-06,0.00010913,0.0065328
1.2092e-24,1.916e-22,5.2636e-20,1.3045e-17,2.8821e-15,5.5891e-13,9.3185e-11,1.2984e-08,1.4517e-06,0.00012221,0.0069089
2.2019e-24,3.2987e-22,8.5766e-20,2.0126e-17,4.2112e-15,7.734e-13,1.221e-10,1.611e-08,1.7056e-06,0.00013599,0.0072837
3.8922e-24,5.5267e-22,1.3633e-19,3.0368e-17,6.0335e-15,1.0522e-12,1.5775e-10,1.9763e-08,1.987e-06,0.00015047,0.007657
6.7026e-24,9.0491e-22,2.1233e-19,4.5004e-17,8.5085e-15,1.4121e-12,2.0147e-10,2.4024e-08,2.299e-06,0.00016573,0.008031
1.1218e-23,1.4452e-21,3.2356e-19,6.5432e-17,1.1802e-14,1.8685e-12,2.5432e-10,2.8931e-08,2.6414e-06,0.00018168,0.0084036
1.8353e-23,2.2598e-21,4.8368e-19,9.3518e-17,1.6127e-14,2.441e-12,3.1763e-10,3.4544e-08,3.0153e-06,0.00019833,0.0087748
2.9417e-23,3.4676e-21,7.1074e-19,1.3162e-16,2.174e-14,3.152e-12,3.9286e-10,4.0926e-08,3.4222e-06,0.00021565,0.0091446
4.6352e-23,5.2397e-21,1.0301e-18,1.8297e-16,2.8991e-14,4.0322e-12,4.8213e-10,4.8185e-08,3.8659e-06,0.00023376,0.0095151
7.1629e-23,7.7818e-21,1.4702e-18,2.5096e-16,3.8211e-14,5.1069e-12,5.8679e-10,5.6356e-08,4.3453e-06,0.00025255,0.0098842
1.0885e-22,1.1381e-20,2.0695e-18,3.4e-16,4.9824e-14,6.4088e-12,7.0871e-10,6.551e-08,4.8618e-06,0.00027202,0.010252
1.6294e-22,1.6416e-20,2.8766e-18,4.5546e-16,6.4325e-14,7.9744e-12,8.499e-10,7.5719e-08,5.4166e-06,0.00029215,0.010618
2.4096e-22,2.3418e-20,3.9589e-18,6.0474e-16,8.2401e-14,9.8559e-12,1.0135e-09,8.7127e-08,6.0143e-06,0.00031307,0.010985
3.5128e-22,3.2984e-20,5.3869e-18,7.9494e-16,1.0464e-13,1.2091e-11,1.2012e-09,9.9757e-08,6.6531e-06,0.00033466,0.011351
5.0564e-22,4.592e-20,7.2535e-18,1.0353e-15,1.318e-13,1.473e-11,1.4153e-09,1.1369e-07,7.3343e-06,0.00035691,0.011715
7.194e-22,6.325e-20,9.6729e-18,1.3367e-15,1.6477e-13,1.7828e-11,1.6586e-09,1.2901e-07,8.059e-06,0.00037981,0.012078
1.0143e-21,8.6402e-20,1.2803e-17,1.7144e-15,2.0477e-13,2.147e-11,1.9356e-09,1.459e-07,8.8329e-06,0.0004035,0.012442
1.4145e-21,1.1688e-19,1.6799e-17,2.1818e-15,2.5277e-13,2.5707e-11,2.2479e-09,1.6436e-07,9.6532e-06,0.00042784,0.012804
